total_epochs,final_train_loss,final_val_loss,final_train_mae,final_val_mae
65,0.014648600481450558,0.07860002666711807,0.0901140421628952,0.1392536759376526
total_epochs,final_train_loss,final_val_loss,final_train_mae,final_val_mae
108,0.012769287452101707,0.06102288141846657,0.08385885506868362,0.13967019319534302
total_epochs,final_train_loss,final_val_loss,final_train_mae,final_val_mae
86,0.013166875578463078,0.05597870796918869,0.0839972198009491,0.12587150931358337
total_epochs,final_train_loss,final_val_loss,final_train_mae,final_val_mae
86,0.014731687493622303,0.05438130721449852,0.08722946047782898,0.12611186504364014
total_epochs,final_train_loss,final_val_loss,final_train_mae,final_val_mae
42,0.02462119050323963,0.10126426815986633,0.11563452333211899,0.13349203765392303
